,No.,Title,Author,Size,Year,Category,Description
11,1005,Chicago in 1830. (G4104.C4. 1830.B9),"Bucklin, James M.","In plastic folder.
  5""x6""",1830,Chicago," Hand-drawn
  map of early settlement at river mouth. 
  Marks Ft. Dearborn; Kinzie, Wolcott, and Bayley homes. From a
  map by James Bucklin, Chief Engineer, Illinois & Michigan Canal. Courtesy
  of Ill. Hist. Society, Presented by George A. Brennan. Published
  with info: F37A.12j v.7 p. 338"
12,1006,Chicago in 1830. (G4104.C4.1830.A5.1884),"Thompson, James","In folded paper sheet.
  7""x4.5""",1830,Chicago," From
  plat in possession of CHS.  Shows
  numbered lots and owners E to State, W to Jefferson, N to Kinzie, S to
  Washington."
13,1007,"1830 Map of Mouth of the Chicago River, with
  Supplement showing the site of the Kinzie House.","Harrison, F.","In plastic folder w/photocopy.
  9""x4.5""",1830,Chicago," Shows
  sites of Ft. Dearborn, Kinzie House and other early homes, streets around
  mouth of river.  Handwritten note on
  bottom c. 1894. ICHi-64088"
14,1008,Chicago in 1830. (G4104.C4S2.1830.E5H4),"Elder, J.C. & R.L. Dobson.","Laminated 16""x9.25""",1830,Chicago," Shows
  land plots and plot owners.  Notes
  landmarks including Lee's Place, Canal Land, Clyborn Slaughter House, old
  city center. Copied after J.C. Elder & Co, surveyors and map publishers.
  Drawn by R.L. Dobson. Traced- 1/5/1912, L.A. Heyn, Harbor Division. Scale:
  3""=1 mile. Gift: J.
  W. McGaffny, 5/1924"
15,1008,Chicago in 1830. (G4104.C4S2.1830.E5H4a),"Elder, J.C. & R.L. Dobson.","8""x14""",1830,Chicago," Shows
  land plots and plot owners.  Notes
  landmarks including Lee's Place, Canal Land, Clyborn Slaughter House, old
  city center. Copied after J.C. Elder & Co, surveyors and map publishers.
  Drawn by R.L. Dobson. Traced- 1/5/1912, L.A. Heyn, Harbor Division.  Forests and trails colorized. Scale:
  3""=1 mile Gift: J.
  W. McGaffny, 5/1924"
16,1009,"Chicago in 1830. (true copy of
  original) (G4104.C4S2.1830.E5D7 and E5D7a)","Elder, J.C. & R.L. Dobson.",Copies in white paper folder.,1830,Chicago,
17,1010,"Plan of Chicago River in 1833 and locations of
  early buildings.","Cleaver, Charles.","Copy of 2 sequential maps,
  16""x20""",1833,Historical & Pictorial," Drawn
  c. 1850.  Presented to CHS by
  descendants of Charles Cleaver. (c) 1938 by Editch Bardwick Beardsley.  Hand-drawn maps from Lakeshore W to Canal
  St, S to Washington, N to Kinzie. 
  Marks off a many specific buildings."
18,0047c,"Chicago with the School Section, Wabansia, and
  Kinzie's Addition (G4104.C4.1834.H3.1947)","Hathaway, Joshua","Laminated. 24""x18""",1834,Chicago,
19,1011,Chicago Is. (G4104.C4.1834.C4), ,"19.5""x23.5""",1834,Chicago," Map
  of three land plots with numbered addresses. 
  Outlined in blue: E to State, W to Des Plaines, S to Madison, N to
  Kinzie.  Outlined in red: Small
  'Wobonsia' division along north river branch. 
  Outlined in red: E of State and N of river mouth, up to Superior
  St.  Also marks Ft. Dearborn and U.S.
  Reservation Scale:
  1""=300'"
20,1012,Chicago (G4104.C4.1834.W8 Ms. copy),"Wright, J.S.","Laminated. 16.5""x13.5""",1834,Chicago," Drawing
  of Chicago land plots S to 12th St, N to Superior.  Notes Ft. Dearborn and Kinzie block.  Numbers lots north of river, between State
  St. and lakeshore. From: Report on the Evidence... Bates vs. Central Ill. 1859, facing p. 10, F38NA.B21"
21,64,Map of Lots at Chicago (G4104.C4.G42.1835.M5),Franklin & Jenkins,"Whole map: 17""x16""",1835,Chicago," Right
  map: 16x8.5"" Street
  map of Chicago R. mouth and north branch. 
  W to Des Plaines, N to Superior, S to Washington. Left
  map:16.5""7.5"" Shows
  numbered lots along north branch, 1st St. to Kinzie along Jefferson, Union,
  and Des Plaines. ""For
  sale on Friday 8th May 1835 at 12 O'Clock at the Merchant's
  Exchange""  "
22,1015,"Subdivision of plots 3, 4, 5, and 6 in block
  fourteen Chicago, Cook County, Illinois. (G4104.C4G42.1835.W7)","Wooley, J.","In plastic sleeve.  17""x22""",1835,Chicago," Numbered
  and measured blocks between Carrol and Water. 
  Key contains list of plot owners with dates of deed.  Also contains statements signed by Cook
  Cty. recorder and Justice of the Peace certifying right of Arthur Bronson to
  sell land."
23,1016,"Chicago, 1835. (G4104.C4S2.1835.S4)","Scharf, Albert.","20""x23""",1835,Chicago," Based
  on surveys by W. H. Bushnell (1847), F. Harrison Jr. (1820).  Drawn by Albert F. Scharf (1908). Hand-drawn
  map of central Chicago.  Streets and
  river in black.  Indian trails,
  bridges, and some landmarks in red. 
  Verdure marked by green trees. Contains legend marking 60 landmarks,
  including churches, Indian camps, and various businesses.  Marked by a few red ink stains. Gift of
  Albert J. Scharf ICHi-51277"
24,no number,Chicago with several additions,Clerk's Office of Cook County Illinois,"24.25""x40.75""",1836,Chicago," Map of
  land plots, numbered and with plot owners listed.  Sections marked off by colored borders,
  noted in reference list. Scale:1""=500' ICHi-37310 Gift of
  the estate of B.W. Raymond"
25,1018,"Map of fractional section no. 15 township 39
  north, range 14 east of the 3rd principal meridian. (G4104.C4.1836.T3.1893)",Board of Canal Commissioners.,"In file folder with notes in
  plastic sleeves.",1836,Chicago," Laminated.
  9.75""x13.25"" Map of
  numbered land plots from Madison to 12th St. between State and Michigan.  Includes text containing certification by
  Illinois and Cook County officials. Scale:
  1""=250'"
26,1019,"Part of block 20 in Kinzie's addition to the
  town of Chicago. (G4104.C4G42.1837.R4)","Rees, James. H.","7.75""x12.75""",1837,Chicago," In
  plastic sleeve. Signed
  and certified by James Rees, city surveyor, 5/31/1837.  Plat for numbered lots between Lake
  Michigan and Sand St, Ohio St. and Indiana St."
27,113,"Chicago, Exhibiting Recent Additions,
  Subdivisions, &c (G4104.C4.1847.B9)","Bushnell, W.H.","60""x39.75""",1847,Chicago," ""Compiled
  from the most authentic sources by W. H. Bushnell."" Sarony & Major,
  Lith., N.Y. Shows
  numbered plots S. to Boon St., N to North Ave., W to Ann St.  Two reference keys for principal buildings
  and additions."
28,31,"Map of Chicago and Vicinity
  (G4104.C4.1849.C5)",Rees & Rucker,"Folded. 45""x34""",1849,Chicago,
29,41,"Map of the City of Chicago (G4104.C4.1851.D7
  copy 1)","Morse, D.","10.75""x14.25""",1851,Chicago," Eng. by
  Doly & Bergen, N.Y. N. to
  North, S. to commerce, W to Ashland. 
  Ward divisions numbered. From Danenhowen's Chicago City Directory to 1851."
30,41,"Map of the City of Chicago (G4104.C4.1851.D7
  copy 2)","Morse, D.","12""x16""",1851,Chicago," Eng. by
  Doly & Bergen, N.Y. N. to
  North, S. to commerce, W to Ashland. 
  Ward divisions numbered and marked by color.  Handwritten notes mark some plot numbers,
  new ward numbers, add expansion past western border."
31,41,"Map of the City of Chicago (G4104.C4.1851.D7
  copy 3)","Morse, D.","13""x16""",1851,Chicago," Eng. by
  Doly & Bergen, N.Y. N. to
  North, S. to commerce, W to Ashland. 
  Ward divisions numbered and marked by color."
32,41,"Map of the City of Chicago (G4104.C4.1851.D7
  copy 3)","Morse, D.","13.25""x18.75""",1851,Chicago," Eng. by
  Doly & Bergen, N.Y. N. to
  North, S. to commerce, W to Ashland. 
  Ward divisions numbered and marked by color. ICHi-68080"
33,41,"Map of the City of Chicago (G4104.C4.1851.D7
  copy 4)","Morse, D.","13.25""x18.75""",1851,Chicago," Eng. by
  Doly & Bergen, N.Y. N. to
  North, S. to commerce, W to Ashland. 
  Ward divisions numbered. ICHi-68080"
34,230,"The Vicinity of Chicago as it was in 1851
  (G4104.C4.1857.R4.1893)","Rees, James H.","13""x16.5""",1851,Chicago," Marks
  county and township lines, major roads and railroads.  Marks schools and post offices taken from
  census information.  Notes major
  settlements with population numbers.  S
  to Lake Calumet and Wolf Lake, W to Des Plaines River, N to circa Irving Park
  Rd.  Gives degrees and distance from
  downtown to locations in nearby states. Have a
  transparency. Gift of
  Rufus Blanchard."
35,26,"Map of the City of Chicago (GG4104.C4.1852.B9
  copy 1)","Burley, A.H. & C.","Laminated.
  11.25""x13.5""",1852,Chicago," Contains
  numbered legend for landmarks, lettered legend for hotels.  S to Commerce St, N to North Ave, W to Wood
  St.  Also marks railroads, bodies of
  water."
36,26,"Map of the City of Chicago (GG4104.C4.1852.B9
  copy 2)","Burley, A.H. & C.","12.25"" x 14""",1852,Chicago," Contains
  numbered legend for landmarks, lettered legend for hotels.  S to Commerce St, N to North Ave, W to Wood
  St.  Also marks railroads, bodies of
  water. Gift of
  Alfred Taylor Perry, 5-11-44"
37,1020,"Plat of block 14 in the original town of
  Chicago. (G4104.C4g42.1852.D3)","Davie, W.P.","Laminated. 13""x17.5""",1852,Chicago," Plat
  of land between N. Water St, N. Market St, and Chicago river.  Shows subdivision of original lots
  acknowledged by A. Bronson.  Also marks
  original street formation.  Contains
  notes on several ordinances. Scale:
  50ft=1 inch."
38,"no
  number","City of
  Chicago, Cook Co., Illinois","Hart, Henry.","in
  frame, 87""x57""",1853,"Ptgs.
  Storage",
39,no number,"Chicago
  map (G4104.C4.1853.A3)",Acheson,"Not
  in folder: 'on exhibit Chicago Gallery 5' as of 5/2014.",1853,Chicago,
40,28,"Map of the City of Chicago (GG4104.C4.1853.B9)(2
  copies)","Burley, A.H. & C.","Copy 1: Laminated.  10.75""x14.5""",1853,Chicago," Significant
  tearing on edges, especially right side and upper left corner. Copy 2:
  Laminated.  11.5""x15"" Contains
  numbered legend for landmarks, lettered legend for hotels.  S to Commerce St, N to North Ave, W to Wood
  St.  Also marks railroads, bodies of
  water."
41,48,Chicago (G4104.C4.1853.F3),"Fanning, Thomas C.","9.75""x13""",1853,Chicago," Piece of
  paper taped into paper frame.  Frame
  torn at upper left corner. Shows
  streets, railroads, ward boundaries.  S
  to Commerce, N to North, W to Ashland."
42,1,"The City of Chicago, Cook C. Illinois
  (G4104.C4.1854.A3)",H. Acheson,"17.25""x16.5""",1854,Chicago," Shows
  streets and numbered land plots. S to Ridgely, W to Holstein, N to Fullerton Contains
  legends marking churches, public buildings, hotels, and RR passenger
  depots.  Also lists population
  increases.  Different wards marked by
  colors.   Gift:
  Otto L. Schmidt"
43,2,"The City of Chicago, Cook C. Illinois
  (G4104.C4.1854.A3C5)",H. Acheson,"17""x22""",1854,Chicago," Shows
  streets and numbered land plots. S to Ridgely, W to Holstein, N to Fullerton Contains
  legends marking churches, public buildings, hotels, and RR passenger
  depots.  Also lists population
  increases.  Different wards marked by
  colors.  "
44,3,"The City of Chicago, Cook C. Illinois
  (G4104.C4.1854.A3R9)",H. Acheson,"Laminated. 23""x17.75""",1854,Chicago," 'J.B.F.
  Russell & Co. Real Estate Brokers and General Auctioneers... Entered
  according to Congress on the year 1854 by H. Acheson' Shows
  streets and numbered land plots. S to Ridgely, W to Holstein, N to Fullerton Contains
  legends marking churches, public buildings, hotels, and RR passenger
  depots.  Also lists population
  increases.  Different wards marked by
  colors. Gift of
  Clarence A. Burley, 4/14/21"
45,5,"The City of Chicago, Cook C. Illinois
  (G4104.C4.1854.A3R4) (2 copies)",H. Acheson,"Copy 1: Laminated.
  22""x17.5""",1854,Chicago," Copy 2:
  23""x17.5"" 'Rees
  & Kerfoot Real Estate & Stock Brokers... Entered according to
  Congress on the year 1854 by H. Acheson' Shows
  streets and numbered land plots. S to Ridgely, W to Holstein, N to Fullerton Contains
  legends marking churches, public buildings, hotels, and RR passenger
  depots.  Also lists population
  increases.  Different wards marked by
  colors."
46,29,"Map of the City of Chicago (G4104.C4.1854.B9) (2
  copies)",A.C. Burley,"Copy 1: Laminated.
  13""x16""",1854,Chicago," Copy 2:
  Laminated. 13.5""x16""17.5"" Contains
  numbered legend for landmarks, lettered legend for hotels.  S to Commerce St, N to North Ave, W to Wood
  St.  Also marks railroads, bodies of
  water. Gift of
  Gerard B. McDermott"
47,52,"Map of Chicago and it Southern & Western
  Suburbs (G4104.C4.1854.I4)",N. P. Inglehart & Co.,"Photostat made 8/25/1933.
  18""x25""",1854,Chicago," ""A
  large amount of property- in the City & Vicinity- for Sale by N. P.
  Inglehart & Co, Chicago IL, 1854.. 
  Also- 20,000 Acres good Farming Lands- on the Line of the Rail
  Roads.""  Also lists population
  increase over time.  Blue highlight
  marks Western/Blue Island. Numbers
  land plots, give acreage, lists some owners. 
  Also notes rail lines, major streets, N to
  Fullerton, W to Pulaski, S to circa Hyde Park."
48,no number,"Map of W. Water Street and Adjoining Lots
  (G4104.C4P2.1855.C4)", ,"23""x15""",1855,Chicago," Blueprint.  Shows Water St. and Canal St. along south
  branch of Chicago River, from Washington to Fulton.  Gives numbers and measurement for lots. Scale:
  1inch = 100ft"
49,12,"Map of Chicago
  (G4104.C4.1855.B5)",Blanchard,"8""x10""",1855,Chicago,
50,32,"City of Chicago Illinois/City of St. Louis
  Missouri (G4104.C4.1855.C7)",(from Colton Atlas),"18.5""x16""",1855,Chicago," Dual map
  of Chicago and St. Louis on same scale, Colton Atlas p. 45. ""Entered
  according to the Acts of Congress in 1855 by J.H. Colton & Co."" Maps of
  streets with ward numbered and marked by different colors.  Chicago map shows S to Bridge, N to Centre,
  and W to Lisle St.  Also marks railroad
  lines and train depots. Gift of
  Charles B. Pike, Feb 14 1928."
51,57,"New Map of Chicago compromising
  the Whole City (G4104.C4.1855.M4I4)",N.P. Inglehart & Co.,"Laminated. 25.5""x40""",1855,Chicago,
52,58,"New Map of Chicago compromising the Whole City
  (G4104.C4.1855.M4a)",Hall & Co.,"Laminated. 31""x23.5""",1855,Chicago," Shows
  streets, properties with plot numbers and owners, parks, and railroads.  Notes population growth. Legend noting
  hotel locations added on. S to
  Ridgely, N to Fullerton, W to Western. ""Taken
  from Lowe's Map with all the recent additions, subdivisions, and extensions,
  published by Hall & Co."" Scale:
  1""=1200 ft. Purchase,
  R.S. Barnes, Dec. 1957"
53,59,"New Map of Chicago Comprising the Whole City
  (G4104.C4.1855.M4)",Lowe,"Laminated. 27""x32""",1855,Chicago," ""Taken
  from Lowe's Map with all recent additions, subdivisions, & extensions.
  Published by Hall & Co. October 1855. E.D. Mendel Lithographic Publishing
  Office"" Shows
  streets with block numbers.  Marks
  railways, parks, several land owners. 
  Lists population growth. N to Fullerton, S to Walker, W to Western. Scale:
  1"" = 1200 ft."
54,1017,City of Chicago Illinois (G4104.C4.1855.C7),(from Colton Atlas),"In plastic sleeve.  11.25""x7.25""",1855,Chicago," ""Entered
  according to the Acts of Congress in 1855 by J.H. Colton & Co."" Map of
  streets with wards numbered and marked by different colors.  S to Bridge, N to Centre, W to Lisle
  St.  Also marks railroad lines and
  train depots. Paper
  map has some creases, tattered along right edge."
55,1021,"Map of W. Water Street and adjoining lots.
  (Blueprint, G4104.C4P2.1855.C4)","Rulison, Rich.","15""x23""",1855,Chicago," Blueprint
  map showing streets and lots with measurements between Canal St and south
  branch of Chicago River, between Washington and Fulton. Information on map at
  top."
56,1022,"City of Chicago Illinois
  (G4104.C4.1855.C7.R3.1968)",(from Colton Atlas-Rand McNally Repro.),"22""x17""",1855,Chicago," ""Entered
  according to the Acts of Congress in 1855 by J.H. Colton & Co."" Enlargement
  of map from Colton Atlas.  Map of
  streets with wards numbered.  S to
  Bridge, N to Centre, W to Lisle St. 
  Also marks railroad lines and train depots. Scale:
  1"" = 1/4 mile Gift,
  Rand McNally & Co. Map store, 11/1968"
57,56,"Gager's City Directory Map of
  Chicago","Gager, John","14""x18.5""",1856,Chicago,
58,4,"Chicago, largest primary grain port in the world
  (G4104.C4.1857.A3- 2 copies)","Gager, John","11""x8.25""",1857,Chicago," Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western. Also marks rail lines.  Ward numbered and marked by color.  Also includes inset regional maps of
  Illinois and U.S.A. in black and white. 
  Also contains list of population growth."
59,13,Map of Chicago (2 copies),"Blanchard, Rufus","Laminated. 29.75""x23""",1857,Chicago," Copy #2:
  Faded colors, stains and wear on right side. Map of
  streets, land plots.  Wards marked by
  number and color.  N to Fullerton S to
  Walker.  Churches marked by black
  blocks. Legend
  includes additional information on omnibus lines, cab fare, schools, and
  population grown."
60,14,Map of Chicago (2 copies),"Blanchard, Rufus","Laminated. 24""x32""",1857,Chicago," Copy
  #2: frayed, curled on right edge. Map of
  streets, land plots.  Wards marked by
  number and color.  N to Fullerton S to
  Walker.  Churches marked by black
  blocks. Inset
  map of Chicago in 1812, noting landmarks, forests, and Indian trails. Legend
  includes additional information on omnibus lines, cab fare, schools, and
  population grown."
61,53,"Map of Chicago, largest primary grain port in
  the world (G4104.C4.1857.I4)",N.P. Inglehart & Cos.,"Laminated. 10.5""x12.5""",1857,Chicago," Map of
  streets, neighborhoods, and land plots. 
  Blue borders drawn around Fullerton/Western/47th St.  Wards numbered and marked by color.  Insets show Chicago within NE Illinois and
  USA.  Also includes list of population
  increases. Backside:
  Circular from Chicago Land Office"
62,46,Chicago (G4104.C4.1858.G4),"Gemmell, John","Laminated. 11""x13.5""",1858,Chicago," Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western. Also marks rail lines, numbers wards. Scale: 1
  mile= 11"""
63,63,"New Map of Chicago Comprising the Whole City
  (G4104.C4.1858.M4)",N.P. Inglehart & Co.,"25""x39""",1858,Chicago," ""Taken
  from Lowe's Map with all the recent additions, subdivisions, and
  extensions.""  Shows streets,
  numbered wards, plots owner names. 
  Also shows rail lines, real and proposed canal paths.  Wards are numbered. Lists
  population increases. Scale:
  1"" = 1200 ft."
64,893,Chicago (G4104.C4.1859.C4),D.B. Cooke & Co.,"11""x17""",1859,Chicago," Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western. Also marks rail lines, numbers wards.  Major roads highlighted in red.  Map on alphanumerical grid, with street
  locator key at bottom. Fraying/folding
  along right edge."
65,45,Chicago (G4104.C4.1860.G4),D.B. Cooke & Co.,"Laminated. 11.75""x15""",1860,Chicago," Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western.  Also marks
  railway lines.  Numbers wards and names
  plots and areas. Scale:
  1""=1/2 mile"
66,45,Chicago (G4104.C4.1860.G4a),D.B. Cooke & Co.,"16.5""x20""",1860,Chicago," Laminated
  and in sealed plastic sleeve. Folded-out
  street map of Chicago, including advertisements.  S to Ridgley, N to Fullerton, W to
  Western.  Also marks railway
  lines.  Numbers wards and names plots
  and areas.  Map placed on alphanumeric
  grid, with street legend below. Scale:
  1""=1/2 mile"
67,183,Map of Chicago (G4104.C4.1860.K4),Kerfoot,"7.75""x10""",1860,Chicago," In
  plastic sleeve. Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western.  Also includes
  railway lines and ward numbers. 
  Backside contains personal letter. Scale:
  1""=1.25mile Gift:
  Franz van Hellen, Jan. 1957"
68,1023,"Greene's South Branch Addition to Chicago.
  (G4104.C4G42.1860.M4)",Chicago South Branch Dock Co,"8.75""x5.5""",1860,Chicago," In
  plastic sleeve. Shows
  lots and canals along south branch of Chicago River.  Lisle, Laflin, Loomis, Throop, Rucker,
  Fisk, and Stetson Sts. between South and Lumber Sts.  Also gives measurements for lots, canals,
  and streets.  Backside contains
  advertisement from South Branch Dock Company. Duplicate
  in broadsides."
69,15,Map of Chicago (G4104.C4.1862.B5),"Blanchard, Rufus","Laminated. 26""x35.5""",1862,Chicago," Map of
  streets, land plots.  N to Fullerton S
  to Walker. Sections numbered and marked off in red.  Right side contains index of additions and
  subdivisions in Chicago and vicinity. 
  Left side contains index of streets matching alphanumeric grid.  Bottom contains map of Chicago in 1812
  marking several landmarks, forests and rivers, and Indian trails.  Also contains information on wards and
  districts."
70,60,Map of Chicago (G4104.C4.1862.M4),"Sherlock, P.T.","Laminated. 10.5""x14""",1862,Chicago," Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western.  Includes
  railway lines and ward boundaries. 
  Also marks central railway depot, light house."
71,1024,Map of Chicago. (G4104.C4.1862.M4H3),Halpin and Baily.,"Laminated. 10""x16.75""",1862,Chicago," In
  plastic sleeve. Street
  map of Chicago.  S to Ridgley, N to
  Fullerton, W to Western.  Also includes
  railway lines and ward boundaries. From
  Chicago Merchants' Weekly Circular and Illustrated News. ICHi-38705"
72,44,Chicago (G4104.C4.1863.F5),"van Vechten, James","Total size: 47""x76""",1863,Chicago," Individual
  laminated pieces (4): 23.5""x38"" ""Drawn
  from Davie's Atlas with the latest recorded submissions by W.L. Flower &
  J. Van Vechten"" Map of
  streets and land plots.  S to Egan, W
  to Western, N to Fullerton.  Districts
  are named and colored.  Blocks and
  buildings numbered.  Names railway
  lines and depots.  Many landmarks
  noted. Pieces
  laminated.  Some tears and missing
  fragments along edges. Map
  placed on alphanumeric grid.  Legend in
  upper right side marks firm alarm and police telegraph signal boxes.  Legend along right side marks city streets.  Also lists ordinance on city street
  names.  Upper right also has colored
  inset map noting ward boundaries. Scale:
  1"" = 500ft"
73,85,Map of Chicago (G4104.C4.1863.S4),"Shober, Charles.","Laminated. 12""x19""",1863,Chicago," ""Engraved
  expressly for Halpin & Bailey's City Directory. Entered according to the
  act of Congress.... 1863 by James van Vechten."" Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Western.  Also labels
  railways, parks, some landmarks."
74,86,Map of Chicago (G4104.C4.1863.S42),"Shober, Charles.","Laminated.
  16.5""x""20.5""",1863,Chicago," ""Engraved
  expressly for Halpin & Bailey's City Directory"" Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Western.  Also labels
  railways, parks, some landmarks.  Map
  placed on alphanumeric grid, with street guide in legend on right side. Purchased:
  Active Book Stores, 9/1954, $6.00"
75,16,Guide Map of Chicago (2 copies),"Blanchard, Rufus","Copy 1: Laminated.
  37""x28""",1864,Chicago," Copy 2:
  36""x26.5"" Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Kedzie. Also marks railway lines and depots, ward boundaries.
  Divisions marked by color.  Map on
  alphanumeric grid. Dotted lines mark horse trail roads.  Street guide on left. Legend for locations
  of additions and subdivisions in Chicago and vicinity on right.  Bottom margin contains information on ward
  limits, fire districts, fire signals, and legal hack or cab fare.  Drawing of sailing vessel off
  lakeshore.  Drawn of old Fort Dearborn
  below map.  Bottom margin also contains
  map of Chicago in 1812, marking landmarks, forests, and Indian trails."
76,62,Map of Chicago (2 copies),Mendel,"Laminated. 10""x15""",1865,Chicago," Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Western.  Also marks
  railway lines and depots, ward boundaries. Gift:
  Mrs. Otto Madlener, 9/1974"
77,87,Map of Chicago,"Shober, Charles","Laminated. 28""x20""",1865,Chicago," ""Engraved
  expressly for Bailey's City Directory"" Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Western.  Also marks
  railway lines and depots, ward boundaries. Map on alphanumeric grid.  Backside contains advertisements,
  lithograph of Chicago lakeshore view by Chas. Shober"
78,8084,Official Guide Map of Chicago,"van Vechten, James","Laminated. 26.75""x37""",1865,Chicago," Chas.
  Shober, engraving and lithographing. Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Western.  Also marks
  railway lines and depots, ward boundaries. Map on alphanumeric grid.  Divisions marked by color.  Major streets outlined with red. Legends
  on right side provide street guide, fire alarm and police telegraph
  locations. Lists fire districts.  Also
  lists ordinance on city street names."
79,7,Chicago (2 copies),Appleton,"Laminated.  9""x12.25",1866,Chicago," ""Prepared
  expressly for Appleton's Hand Book of Travels"" Street
  map of Chicago.  S to Egan Ave, N to
  Fullerton, W to Western.  Also notes
  railroads and ward boundaries.  Legend
  on right side notes 20 landmarks."
80,89,"Map, City of Chicago","Spencer, W.S.","Laminated. 16""x20""",1866,Chicago," Street
  map of Chicago.  S to Egan, N to
  Fullerton, W to Western.  Also labels
  parks, railway lines and depots.  Notes
  distances.  Top and right sides
  contains advertisements. Gift of
  Mrs. J. M. McGann"
81,301,Guide Map of Chicago (G4104.C4.1866.B5 copy 1),"Blanchard, Rufus","Laminated. 20""x14.5""",1866,Chicago," Street
  map of Chicago.  S to Egan, N to
  Fullerton, W to Western.  Also labels
  parks, railway lines and depots. 
  Divisions marked by different colors. Legend on right side contains
  locations of additions and subdivisions."
82,1025,Guide Map of Chicago.,"Bailey, John C.","Laminated. 16""x21""",1866,Chicago," Street
  map of Chicago.  S to Egan, N to
  Fullerton, W to Western.  Also labels
  parks, railway lines and depots.  Map
  on alphanumeric grid.  Legend for
  location of additions and subdivisions."
